Instagram_Image_Number,Flipkart_Image_Number,Similarity_Score

images10.jpg,fashionblogger29.jpg,0.7312995461305162

images100.jpg,fashionblogger29.jpg,0.6036731511373737

images103.jpg,fashionblogger29.jpg,0.5995454509648435

images106.jpg,fashionblogger29.jpg,0.5263693980214363

images109.jpg,fashionblogger29.jpg,0.49453950137423863

images12.jpg,fashionblogger29.jpg,0.5431439453086297

images15.jpg,fashionblogger29.jpg,0.45331567046276755

images18.jpg,fashionblogger29.jpg,0.5715658612851602

images21.jpg,fashionblogger29.jpg,0.55992375160085

images24.jpg,fashionblogger29.jpg,0.534283729007434

images25.jpg,fashionblogger29.jpg,0.6357368716746916

images28.jpg,fashionblogger29.jpg,0.5776981417186438

images31.jpg,fashionblogger29.jpg,0.467146997279586

images34.jpg,fashionblogger29.jpg,0.4746948231671282

images35.jpg,fashionblogger29.jpg,0.5018198792020023

images38.jpg,fashionblogger29.jpg,0.5448821577906442

images4.jpg,fashionblogger29.jpg,0.56190412558976

images41.jpg,fashionblogger29.jpg,0.5147513608895498

images44.jpg,fashionblogger29.jpg,0.5210917332826059

images46.jpg,fashionblogger29.jpg,0.435430240342769

images49.jpg,fashionblogger29.jpg,0.6334383375135024

images52.jpg,fashionblogger29.jpg,0.547605646859718

images55.jpg,fashionblogger29.jpg,0.532026688481286

images56.jpg,fashionblogger29.jpg,0.5596511674952349

images59.jpg,fashionblogger29.jpg,0.5269610543405165

images62.jpg,fashionblogger29.jpg,0.5357344980426617

images65.jpg,fashionblogger29.jpg,0.5028398636755851

images68.jpg,fashionblogger29.jpg,0.47416242071681414

images7.jpg,fashionblogger29.jpg,0.6654982332528119

images71.jpg,fashionblogger29.jpg,0.4960672926414438

images74.jpg,fashionblogger29.jpg,0.4572365281833737

images77.jpg,fashionblogger29.jpg,0.5758422614044051

images78.jpg,fashionblogger29.jpg,0.5418761353435191

images81.jpg,fashionblogger29.jpg,0.5421252888229429

images84.jpg,fashionblogger29.jpg,0.5199859029900444

images87.jpg,fashionblogger29.jpg,0.49906842941387186

images89.jpg,fashionblogger29.jpg,0.5742582392750961

images92.jpg,fashionblogger29.jpg,0.48902302283703136

images95.jpg,fashionblogger29.jpg,0.5457499228929746

images98.jpg,fashionblogger29.jpg,0.5124108557645388

